TRANSACTION_ID,STORE_ID,TRANSACTION_DATE,PRODUCT_ID,QUANTITY,DISCOUNT_PERCENT
110668,103,04-03-2024,P_050,4,0
110669,106,04-05-2024,P_030,3,0
110670,107,4/15/2024,P_015,5,20
110671,103,04-11-2024,P_039,4,5
110671,106,04-11-2024,P_050,2,5
110672,103,4/27/2024,P_034,4,0
110673,107,4/24/2024,P_030,2,10
110674,104,4/29/2024,P_010,1,5
110674,101,4/29/2024,P_020,5,5
110675,105,04-02-2024,P_043,3,10
110675,103,04-02-2024,P_047,1,10
110676,104,04-08-2024,P_040,4,0
110677,103,04-03-2024,P_029,2,20
110677,102,04-03-2024,P_019,5,20
110678,105,04-10-2024,P_022,5,0
110679,102,04-12-2024,P_046,2,0
110680,103,4/13/2024,P_009,2,0
110681,107,4/22/2024,P_030,3,20
110682,101,04-04-2024,P_008,1,10
110683,107,4/15/2024,P_022,2,15
110684,102,4/24/2024,P_045,2,10
110685,103,04-07-2024,P_047,3,15
110686,106,4/26/2024,P_035,3,0
110687,102,4/28/2024,P_039,1,0
110687,107,4/28/2024,P_022,2,15
110688,104,4/13/2024,P_025,4,5
110689,102,4/13/2024,P_047,4,5
110689,107,4/13/2024,P_008,1,15
110690,105,04-09-2024,P_006,4,5
110691,108,4/27/2024,P_045,5,0
110691,101,4/27/2024,P_022,5,15
110692,106,4/30/2024,P_030,1,10
110692,103,4/30/2024,P_031,5,15
110693,102,04-06-2024,P_020,4,10
110693,104,04-06-2024,P_015,1,10
110693,106,04-06-2024,P_002,3,5
110694,105,04-12-2024,P_006,2,15
110695,104,04-01-2024,P_049,4,0
110696,105,04-06-2024,P_011,4,20
110696,103,04-06-2024,P_003,1,5
110697,107,04-05-2024,P_010,4,5
110698,104,04-02-2024,P_001,5,0
110699,107,04-11-2024,P_024,3,0
110699,105,04-11-2024,P_044,2,20
110700,102,04-09-2024,P_012,3,10
110700,101,04-09-2024,P_040,4,20
110701,105,04-09-2024,P_014,4,10
110702,103,04-05-2024,P_014,2,15
110703,101,04-10-2024,P_018,3,20
110704,107,4/23/2024,P_015,1,0
110705,107,4/15/2024,P_002,5,10
110706,106,04-06-2024,P_003,3,5
110707,107,4/15/2024,P_029,1,15
110708,104,4/27/2024,P_029,1,0
110708,105,4/27/2024,P_037,3,0
110709,102,4/22/2024,P_010,5,10
110710,106,4/22/2024,P_013,4,20
110710,108,4/22/2024,P_015,5,20
110711,104,04-04-2024,P_045,2,10
110712,104,4/19/2024,P_036,2,10
110712,103,4/19/2024,P_005,4,10
110713,106,04-08-2024,P_006,2,10
110713,104,04-08-2024,P_026,5,5
110713,101,04-08-2024,P_033,4,10
110714,108,04-04-2024,P_004,5,20
110714,108,04-04-2024,P_042,1,15
110714,107,04-04-2024,P_009,3,20
110715,106,04-09-2024,P_011,1,20
110716,104,4/14/2024,P_023,1,0
110716,107,4/14/2024,P_040,5,0
110716,105,4/14/2024,P_009,2,15
110717,101,4/26/2024,P_035,4,0
110717,102,4/26/2024,P_011,2,5
110718,101,4/27/2024,P_043,3,15
110719,108,4/22/2024,P_025,4,20
110719,108,4/22/2024,P_033,1,20
110719,107,4/22/2024,P_043,2,15
110720,107,4/17/2024,P_017,4,0
110721,106,4/22/2024,P_028,5,0
110722,106,4/13/2024,P_023,3,10
110723,108,4/30/2024,P_030,5,0
110723,105,4/30/2024,P_029,3,5
110724,107,4/19/2024,P_050,2,15
110725,106,4/30/2024,P_004,1,20
110726,108,04-03-2024,P_010,2,10
110727,101,4/28/2024,P_023,4,5
110727,107,4/28/2024,P_029,1,0
110728,107,4/24/2024,P_008,1,20
110729,104,04-01-2024,P_047,2,10
110730,108,4/14/2024,P_046,3,15
110731,105,4/22/2024,P_014,2,5
110731,107,4/22/2024,P_033,5,10
110731,108,4/22/2024,P_019,4,20
110732,101,04-02-2024,P_047,5,15
110733,103,04-02-2024,P_023,4,15
110734,108,04-06-2024,P_030,1,5
110734,105,04-06-2024,P_044,3,15
110735,108,04-12-2024,P_017,2,10
110735,106,04-12-2024,P_023,1,5
110735,103,04-12-2024,P_017,1,5
110736,101,04-07-2024,P_022,3,15
110736,102,04-07-2024,P_029,5,5
110737,106,04-11-2024,P_018,5,5
110738,102,04-06-2024,P_017,5,0
110739,107,04-12-2024,P_042,5,10
110740,103,04-06-2024,P_040,2,15
110740,105,04-06-2024,P_007,2,20
110740,101,04-06-2024,P_026,5,15
110741,108,4/14/2024,P_002,4,10
110741,101,4/14/2024,P_036,3,5
110742,108,04-11-2024,P_011,4,0
110743,103,04-08-2024,P_034,5,0
110743,102,04-08-2024,P_036,4,10
110744,101,04-11-2024,P_045,3,5
110745,105,04-02-2024,P_009,1,0
110745,101,04-02-2024,P_025,5,10
110746,107,4/25/2024,P_035,3,5
110747,103,04-12-2024,P_030,2,15
110747,103,04-12-2024,P_037,4,10
110748,101,4/29/2024,P_010,1,0
110748,107,4/29/2024,P_012,3,20
110748,101,4/29/2024,P_023,5,0
110749,101,04-12-2024,P_026,1,20
110749,102,04-12-2024,P_047,2,0
110749,107,04-12-2024,P_026,5,5
110750,105,4/15/2024,P_007,1,10
110751,103,4/18/2024,P_023,5,5
110751,107,4/18/2024,P_030,4,10
110751,102,4/18/2024,P_042,1,10
110752,102,4/13/2024,P_003,5,10
110753,107,4/23/2024,P_044,1,15
110754,105,4/25/2024,P_018,1,20
110754,102,4/25/2024,P_044,2,10
110755,103,4/30/2024,P_013,5,5
110755,108,4/30/2024,P_032,3,10
110756,105,4/20/2024,P_049,5,20
110756,104,4/20/2024,P_016,4,0
110756,102,4/20/2024,P_030,1,15
110757,101,4/30/2024,P_003,5,5
110757,104,4/30/2024,P_018,5,0
110758,106,4/21/2024,P_015,1,0
110759,104,04-04-2024,P_037,5,20
110760,107,04-06-2024,P_046,3,20
110761,104,04-07-2024,P_004,3,15
110761,105,04-07-2024,P_045,2,10
110761,102,04-07-2024,P_026,1,0
110762,106,4/24/2024,P_005,5,0
110762,101,4/24/2024,P_035,4,5
110762,101,4/24/2024,P_042,3,5
110763,108,4/17/2024,P_003,3,20
110764,101,4/15/2024,P_009,4,20
110765,108,04-09-2024,P_003,3,15
110766,101,04-03-2024,P_034,4,5
110767,101,04-08-2024,P_005,3,10
110767,102,04-08-2024,P_024,4,10
110768,102,4/26/2024,P_006,5,15
110768,108,4/26/2024,P_013,4,20
110769,108,4/18/2024,P_045,5,10
110769,102,4/18/2024,P_003,2,10
110769,105,4/18/2024,P_045,1,10
110770,101,4/28/2024,P_048,1,20
110770,103,4/28/2024,P_045,1,20
110771,106,4/27/2024,P_007,5,10
110771,105,4/27/2024,P_031,2,5
110772,106,4/21/2024,P_039,2,15
110772,102,4/21/2024,P_014,5,20
110773,108,04-02-2024,P_013,3,0
110774,107,04-08-2024,P_034,4,20
110775,103,04-06-2024,P_030,2,0
110775,108,04-06-2024,P_034,4,15
110776,105,04-05-2024,P_022,4,15
110777,104,4/18/2024,P_027,1,15
110777,106,4/18/2024,P_017,2,0
110778,103,4/24/2024,P_018,2,20
110779,103,4/27/2024,P_012,5,10
110780,107,4/15/2024,P_032,3,10
110780,102,4/15/2024,P_023,2,5
110781,104,4/29/2024,P_017,3,20
110782,107,4/15/2024,P_029,5,10
110782,104,4/15/2024,P_032,2,15
110783,103,4/27/2024,P_017,4,15
110783,105,4/27/2024,P_021,5,10
110784,101,4/19/2024,P_005,3,10
110784,101,4/19/2024,P_038,2,20
110784,103,4/19/2024,P_049,1,15
110785,108,04-12-2024,P_027,4,0
110786,108,4/21/2024,P_015,3,5
110786,104,4/21/2024,P_007,3,20
110787,108,4/21/2024,P_003,4,0
110788,101,04-07-2024,P_044,4,15
110789,101,4/16/2024,P_022,5,20
110790,103,04-08-2024,P_013,1,20
110791,106,4/18/2024,P_047,3,20
110792,106,4/28/2024,P_041,3,10
110792,108,4/28/2024,P_041,1,15
110793,108,4/15/2024,P_022,4,15
110793,101,4/15/2024,P_010,2,15
110793,101,4/15/2024,P_002,1,0
110794,101,4/30/2024,P_013,4,5
110794,106,4/30/2024,P_039,2,5
110795,107,4/18/2024,P_034,2,15
110795,101,4/18/2024,P_040,3,20
110796,101,04-06-2024,P_006,1,0
110796,102,04-06-2024,P_012,2,15
110797,107,4/30/2024,P_007,3,15
110797,108,4/30/2024,P_004,2,5
110798,104,04-09-2024,P_042,3,5
110799,104,4/23/2024,P_013,1,20
110800,107,4/19/2024,P_046,4,20
110800,108,4/19/2024,P_029,5,10
110801,102,04-06-2024,P_019,5,0
110802,102,4/28/2024,P_035,5,20
110803,101,4/15/2024,P_007,4,0
110804,105,4/26/2024,P_024,4,20
110804,104,4/26/2024,P_028,4,15
110805,101,4/18/2024,P_032,1,15
110806,108,04-02-2024,P_036,2,5
110807,102,04-07-2024,P_012,3,20
110807,102,04-07-2024,P_040,5,0
110808,104,04-08-2024,P_048,2,15
110809,107,04-02-2024,P_037,5,20
110810,104,4/22/2024,P_047,1,15
110811,101,04-06-2024,P_025,1,15
110812,105,04-05-2024,P_001,4,15
110813,107,4/15/2024,P_011,2,10
110813,106,4/15/2024,P_014,2,20
110813,102,4/15/2024,P_012,1,0
110814,103,04-08-2024,P_012,1,0
110815,104,4/20/2024,P_043,5,20
110816,101,4/17/2024,P_044,4,15
110817,102,4/20/2024,P_014,2,0
110818,102,4/20/2024,P_029,1,10
110819,103,4/21/2024,P_005,1,0
110820,102,04-12-2024,P_020,5,5
110821,106,04-11-2024,P_034,1,5
110821,105,04-11-2024,P_039,3,5
110821,107,04-11-2024,P_044,4,20
110822,102,4/18/2024,P_008,2,20
110823,105,04-08-2024,P_032,5,5
110824,102,4/23/2024,P_043,2,5
110824,102,4/23/2024,P_017,2,0
110825,101,04-08-2024,P_046,4,0
110826,106,4/16/2024,P_048,5,0
110826,102,4/16/2024,P_028,2,5
110827,101,04-09-2024,P_041,1,20
110827,101,04-09-2024,P_013,1,10
110828,106,4/29/2024,P_046,4,10
110828,106,4/29/2024,P_034,2,20
110829,105,4/19/2024,P_011,1,0
110829,105,4/19/2024,P_015,1,15
110830,105,4/15/2024,P_019,4,20
110830,101,4/15/2024,P_033,1,0
110831,102,04-06-2024,P_011,3,5
110832,103,04-09-2024,P_021,2,5
110832,106,04-09-2024,P_028,5,20
110833,105,04-12-2024,P_034,5,15
110834,108,04-11-2024,P_023,2,15
110835,105,4/13/2024,P_023,3,20
110835,104,4/13/2024,P_015,1,15
110835,103,4/13/2024,P_015,4,20
110836,102,4/19/2024,P_014,5,15
110837,106,4/20/2024,P_027,5,15
110838,102,4/16/2024,P_036,2,5
110839,102,04-04-2024,P_025,3,15
110840,107,4/13/2024,P_007,1,5
110841,104,4/24/2024,P_020,4,0
110842,102,4/13/2024,P_047,3,20
110843,105,4/22/2024,P_022,4,0
110843,102,4/22/2024,P_009,2,5
110844,108,04-10-2024,P_024,1,5
110845,102,04-04-2024,P_024,3,15
110846,101,04-10-2024,P_018,3,15
110847,102,4/23/2024,P_005,1,10
110848,107,04-01-2024,P_021,1,20
110848,107,04-01-2024,P_035,4,10
110849,105,4/14/2024,P_025,2,10
110850,103,4/18/2024,P_042,5,0
110851,108,04-07-2024,P_046,3,15
110851,102,04-07-2024,P_038,2,20
110852,105,04-08-2024,P_033,4,10
110853,103,04-01-2024,P_006,1,15
110854,102,4/28/2024,P_005,4,10
110855,106,04-08-2024,P_008,2,10
110855,106,04-08-2024,P_044,5,5
110856,102,04-06-2024,P_023,4,5
110857,102,04-03-2024,P_023,4,15
110858,105,04-05-2024,P_029,1,5
110859,107,4/25/2024,P_016,4,0
110860,104,04-08-2024,P_003,5,15
110861,105,4/22/2024,P_020,4,0
110861,101,4/22/2024,P_030,5,15
110861,106,4/22/2024,P_022,2,0
110862,106,04-12-2024,P_034,5,15
110862,101,04-12-2024,P_023,2,20
110863,102,4/21/2024,P_027,1,0
110864,104,04-03-2024,P_023,2,15
110865,103,04-06-2024,P_022,3,15
110865,105,04-06-2024,P_042,4,0
110866,105,4/18/2024,P_035,2,10
110867,106,4/20/2024,P_009,5,10
110867,102,4/20/2024,P_027,2,10
110868,102,4/20/2024,P_010,1,5
110869,101,4/22/2024,P_036,1,20
110870,101,04-03-2024,P_006,1,20
110871,105,04-08-2024,P_034,4,0
110872,104,4/13/2024,P_012,4,20
110873,102,4/20/2024,P_029,4,20
110873,103,4/20/2024,P_002,4,10
110873,107,4/20/2024,P_005,3,5
110874,106,04-02-2024,P_011,2,20
110875,101,4/15/2024,P_023,3,0
110875,103,4/15/2024,P_021,1,15
110876,107,4/19/2024,P_016,4,0
110877,108,04-07-2024,P_017,5,15
110878,104,4/20/2024,P_038,2,20
110879,108,4/30/2024,P_035,3,15
110879,106,4/30/2024,P_014,5,20
110880,107,4/30/2024,P_002,3,20
110880,106,4/30/2024,P_038,5,5
110881,107,4/24/2024,P_005,1,20
110881,105,4/24/2024,P_026,2,20
110882,105,4/18/2024,P_045,4,0
110882,103,4/18/2024,P_049,4,10
110882,107,4/18/2024,P_021,4,20
110883,102,04-04-2024,P_048,4,5
110884,105,04-09-2024,P_029,2,20
110885,101,4/17/2024,P_017,1,0
110885,101,4/17/2024,P_002,4,20
110885,101,4/17/2024,P_010,2,5
110886,105,04-08-2024,P_028,3,5
110887,108,4/22/2024,P_049,1,15
110888,103,4/13/2024,P_005,4,0
110889,105,04-08-2024,P_008,1,10
110890,108,4/19/2024,P_035,1,20
110890,104,4/19/2024,P_021,2,15
110891,103,4/15/2024,P_007,3,15
110892,105,4/26/2024,P_005,2,15
110893,108,04-08-2024,P_040,1,0
110893,102,04-08-2024,P_015,2,10
110894,104,4/30/2024,P_014,1,0
110895,106,4/23/2024,P_050,2,20
110895,104,4/23/2024,P_012,3,5
110895,106,4/23/2024,P_013,5,15
110896,107,04-10-2024,P_017,2,0
110897,106,4/27/2024,P_025,2,15
110898,104,4/21/2024,P_032,3,0
110899,102,04-03-2024,P_032,1,15
110899,101,04-03-2024,P_047,2,20
110900,106,4/21/2024,P_008,4,10
110900,108,4/21/2024,P_022,3,0
110901,105,4/29/2024,P_018,2,20
110901,105,4/29/2024,P_015,4,10
110901,102,4/29/2024,P_031,3,15
110902,105,04-11-2024,P_033,3,10
110902,107,04-11-2024,P_029,4,0
110903,108,4/15/2024,P_042,2,0
110903,104,4/15/2024,P_005,3,0
110904,108,04-03-2024,P_042,2,10
110905,108,4/21/2024,P_046,3,10
110906,105,4/16/2024,P_009,4,15
110906,106,4/16/2024,P_042,2,5
110907,106,4/17/2024,P_014,1,5
110908,103,4/20/2024,P_016,3,10
110908,105,4/20/2024,P_004,5,15
110909,106,4/24/2024,P_035,2,20
110909,106,4/24/2024,P_021,5,5
110910,104,04-04-2024,P_045,4,0
110910,107,04-04-2024,P_007,4,20
110911,105,4/24/2024,P_016,2,15
110911,104,4/24/2024,P_024,2,5
110912,104,4/28/2024,P_019,1,10
110912,106,4/28/2024,P_024,5,15
110913,105,04-06-2024,P_031,4,10
110913,108,04-06-2024,P_045,4,0
110914,107,4/18/2024,P_049,3,15
110915,101,04-11-2024,P_045,1,0
110915,106,04-11-2024,P_004,4,10
110916,106,4/15/2024,P_011,1,5
110916,108,4/15/2024,P_005,1,15
110917,103,4/18/2024,P_013,3,0
110918,105,4/22/2024,P_006,1,10
110919,103,4/21/2024,P_042,3,5
110920,108,4/29/2024,P_037,4,0
110920,105,4/29/2024,P_010,5,15
110921,106,04-04-2024,P_039,2,10
110922,104,4/25/2024,P_006,1,15
110923,107,4/25/2024,P_020,1,15
110924,104,4/24/2024,P_042,4,10
110925,108,4/14/2024,P_010,2,0
110926,101,04-12-2024,P_045,4,10
110926,104,04-12-2024,P_018,2,10
110927,102,04-04-2024,P_033,3,5
110928,104,04-11-2024,P_024,5,5
110928,102,04-11-2024,P_044,1,20
110929,105,4/18/2024,P_003,2,20
110929,108,4/18/2024,P_049,3,10
110929,101,4/18/2024,P_021,4,0
110930,102,04-01-2024,P_004,2,0
110931,101,4/23/2024,P_017,5,20
110931,102,4/23/2024,P_028,2,10
110932,101,4/22/2024,P_017,2,5
110933,105,4/21/2024,P_002,1,5
110934,108,4/16/2024,P_039,4,15
110935,108,04-03-2024,P_049,5,15
110936,106,04-04-2024,P_022,5,15
110937,105,4/27/2024,P_041,2,15
110937,102,4/27/2024,P_049,2,0
110938,108,04-03-2024,P_044,1,5
110939,107,04-06-2024,P_023,1,10
110940,105,4/19/2024,P_011,4,5
110941,104,4/28/2024,P_041,4,20
110942,101,4/23/2024,P_047,2,5
110942,104,4/23/2024,P_020,4,5
110943,105,04-03-2024,P_003,3,5
110944,101,04-06-2024,P_028,1,20
110945,103,4/16/2024,P_037,4,10
110945,108,4/16/2024,P_009,4,10
110946,101,4/16/2024,P_045,5,20
110947,104,04-02-2024,P_028,2,10
110947,107,04-02-2024,P_027,5,0
110948,101,04-04-2024,P_020,2,5
110949,103,04-05-2024,P_028,5,0
110950,106,4/18/2024,P_019,4,15
110950,101,4/18/2024,P_011,2,15
110951,108,4/21/2024,P_034,3,15
110952,108,4/26/2024,P_021,4,5
110953,103,4/21/2024,P_034,1,10
110954,103,4/26/2024,P_023,1,20
110955,107,4/30/2024,P_027,3,0
110955,104,4/30/2024,P_016,2,5
110956,104,4/24/2024,P_047,1,15
110957,107,04-08-2024,P_023,3,15
110958,106,4/15/2024,P_015,5,10
110958,101,4/15/2024,P_046,4,15
110959,101,04-07-2024,P_035,4,20
110959,107,04-07-2024,P_018,3,0
110960,107,4/27/2024,P_027,2,15
110960,105,4/27/2024,P_008,3,10
110961,103,4/14/2024,P_020,1,0
110961,108,4/14/2024,P_024,2,0
110961,103,4/14/2024,P_046,3,10
110962,104,04-09-2024,P_020,5,0
110962,103,04-09-2024,P_019,4,20
110963,101,04-08-2024,P_030,1,0
110964,106,4/25/2024,P_011,5,10
110965,106,4/14/2024,P_041,4,10
110966,102,04-08-2024,P_041,5,0
110966,108,04-08-2024,P_016,5,0
110966,108,04-08-2024,P_030,4,10
110967,102,4/14/2024,P_021,5,20
110968,103,04-05-2024,P_044,1,20
110969,101,4/29/2024,P_004,3,0
110970,108,04-01-2024,P_045,4,15
110971,101,4/15/2024,P_019,2,15
110972,105,04-08-2024,P_038,4,0
110973,107,04-04-2024,P_007,4,15
110973,104,04-04-2024,P_022,4,20
110974,102,04-12-2024,P_024,2,10
110974,107,04-12-2024,P_041,1,0
110974,102,04-12-2024,P_017,5,15
110975,108,4/27/2024,P_019,4,5
110975,101,4/27/2024,P_029,5,0
110976,103,4/14/2024,P_048,5,15
110976,108,4/14/2024,P_049,5,20
110977,101,4/14/2024,P_008,3,15
110978,107,4/26/2024,P_021,5,0
110979,103,04-10-2024,P_041,1,20
110980,108,4/17/2024,P_021,3,10
110981,107,04-09-2024,P_013,3,10
110982,105,4/14/2024,P_001,4,10
110983,105,04-08-2024,P_045,4,20
110984,102,4/13/2024,P_039,4,5
110985,103,4/25/2024,P_046,5,0
110985,107,4/25/2024,P_020,2,5
110986,101,4/30/2024,P_036,2,20
110987,108,4/28/2024,P_020,1,0
110988,107,4/19/2024,P_041,2,20
110989,103,04-02-2024,P_011,5,5
110989,106,04-02-2024,P_018,3,0
110990,103,4/28/2024,P_020,3,20
110990,102,4/28/2024,P_029,3,5
110991,104,4/30/2024,P_035,3,0
110992,102,4/15/2024,P_037,5,0
110993,107,4/25/2024,P_024,1,15
110994,102,04-11-2024,P_036,3,20
110995,106,4/21/2024,P_030,4,15
110996,103,04-03-2024,P_028,4,0
110996,107,04-03-2024,P_023,3,5
110997,104,4/22/2024,P_033,2,15
110998,105,04-04-2024,P_001,1,15
110999,104,04-10-2024,P_018,4,10
111000,106,4/27/2024,P_011,1,0
111001,108,04-05-2024,P_034,4,15
111001,106,04-05-2024,P_001,4,0
111002,106,04-05-2024,P_024,3,10
111003,102,04-04-2024,P_027,3,10
111003,102,04-04-2024,P_050,3,20
111003,107,04-04-2024,P_030,2,20
111004,102,04-05-2024,P_037,3,15
111004,102,04-05-2024,P_009,1,20
111005,106,4/15/2024,P_017,5,15
111006,101,04-09-2024,P_013,2,20
111006,106,04-09-2024,P_023,3,10
111006,102,04-09-2024,P_034,5,10
111007,106,4/21/2024,P_044,5,15
111008,103,04-04-2024,P_001,4,20
111008,103,04-04-2024,P_013,2,10
111009,101,4/29/2024,P_035,4,5
111010,108,4/25/2024,P_019,5,20
111010,108,4/25/2024,P_028,5,0
111011,103,4/22/2024,P_027,5,5
111011,103,4/22/2024,P_045,4,20
111012,104,04-07-2024,P_005,1,15
111012,101,04-07-2024,P_046,2,15
111013,103,4/19/2024,P_026,4,15
111013,104,4/19/2024,P_032,2,15
111013,106,4/19/2024,P_011,1,10
111014,103,4/25/2024,P_050,1,10
111015,102,4/27/2024,P_028,3,15
111015,107,4/27/2024,P_045,3,0
111016,101,4/13/2024,P_017,1,0
111017,107,4/19/2024,P_038,3,10
111017,105,4/19/2024,P_013,5,5
111018,106,4/29/2024,P_043,3,5
111019,105,4/30/2024,P_016,4,5
111020,108,04-03-2024,P_030,1,10
111021,102,04-08-2024,P_049,3,0
111021,104,04-08-2024,P_025,5,0
111021,107,04-08-2024,P_037,5,20
111022,107,04-09-2024,P_001,4,10
111022,102,04-09-2024,P_040,1,5
111023,106,04-04-2024,P_031,3,10
111024,104,4/14/2024,P_013,5,5
111025,103,4/19/2024,P_038,2,0
111026,104,04-10-2024,P_016,4,5
111027,108,4/13/2024,P_047,4,5
111028,107,04-08-2024,P_014,3,20
111029,101,04-07-2024,P_017,1,20
111030,105,4/19/2024,P_019,1,0
111031,107,4/17/2024,P_023,2,5
111032,104,4/22/2024,P_020,2,5
111032,104,4/22/2024,P_046,4,20
111033,106,4/22/2024,P_004,5,10
111033,107,4/22/2024,P_008,2,15
111034,102,4/14/2024,P_018,2,10
111035,107,4/17/2024,P_031,1,5
111036,108,4/18/2024,P_022,1,5
111036,108,4/18/2024,P_041,5,15
111037,104,4/29/2024,P_011,1,0
111037,103,4/29/2024,P_019,1,10
111038,104,04-04-2024,P_018,3,20
111038,103,04-04-2024,P_049,4,10
111039,107,4/26/2024,P_026,5,0
111040,108,4/25/2024,P_010,5,20
111040,103,4/25/2024,P_013,5,0
111040,108,4/25/2024,P_044,3,0
111041,106,4/25/2024,P_009,5,15
111041,103,4/25/2024,P_019,4,20
111042,106,04-05-2024,P_048,4,0
111043,102,4/16/2024,P_014,3,15
111044,101,04-07-2024,P_013,2,20
111045,108,04-02-2024,P_009,1,10
111045,106,04-02-2024,P_022,1,15
111046,105,4/13/2024,P_034,1,15
111046,102,4/13/2024,P_003,4,15
111047,108,4/28/2024,P_001,4,20
111048,105,04-03-2024,P_049,2,20
111049,102,4/21/2024,P_046,5,20
111050,106,04-02-2024,P_017,4,5
111050,103,04-02-2024,P_025,3,0
111050,104,04-02-2024,P_024,5,10
111051,104,4/26/2024,P_026,1,15
111051,107,4/26/2024,P_028,1,15
111052,106,4/27/2024,P_042,3,0
111052,102,4/27/2024,P_037,5,0
111052,101,4/27/2024,P_007,4,0
111053,108,4/16/2024,P_043,5,15
111054,107,04-04-2024,P_009,3,0
111055,108,4/24/2024,P_045,3,15
111055,108,4/24/2024,P_003,5,0
111056,104,04-02-2024,P_013,4,15
111056,102,04-02-2024,P_004,2,0
111056,107,04-02-2024,P_005,4,5
111057,106,4/28/2024,P_041,1,10
111057,102,4/28/2024,P_044,2,0
111058,103,04-10-2024,P_045,3,10
111058,105,04-10-2024,P_008,4,15
111059,107,04-01-2024,P_047,4,15
111059,101,04-01-2024,P_047,1,5
111060,105,4/18/2024,P_020,4,0
